iter,elapsed_s,global_best_len,iter_best_len,iter_mean_len,iter_worst_len
488,9.19031,33473.2,34219.5,41957.3,51776
489,9.20857,33473.2,35015.9,41902.7,54855.6
490,9.22681,33473.2,36667.3,41740.3,49939
491,9.24499,33473.2,35753.1,41656.9,51870.2
492,9.26305,33473.2,35861.3,41512.7,52314
493,9.28111,33473.2,35843.4,41190.9,52017.4
494,9.29971,33473.2,35337.7,41788.9,50342.6
495,9.31779,33473.2,35163.8,41525.1,53829.4
496,9.33606,33473.2,34627.9,41651.1,50725.8
497,9.35427,33473.2,35433,41360.2,56803
498,9.37237,33473.2,34786.8,41657.8,55734.3
499,9.39074,33473.2,35362.2,41720.6,51537.7
500,9.40904,33473.2,35031,41723,53897.1
501,9.42703,33473.2,35203.4,41721,51814.9
502,9.44538,33473.2,34674.3,41429.4,49933.3
503,9.4637,33473.2,35386.2,41698.5,50334.6
504,9.48177,33473.2,35207.3,41303.7,49703.3
505,9.49999,33473.2,34481.7,41351.3,49005.8
506,9.51814,33473.2,34924.6,41655.4,51118.9
507,9.53637,33473.2,35747.5,41873.1,52632.2
508,9.55431,33473.2,35846.7,41961.8,52708
509,9.57244,33473.2,36880.2,41947.6,57222.8
510,9.59041,33473.2,35867.8,41644.2,50976.9
511,9.60843,33473.2,35463,41541.1,53953.1
512,9.62619,33473.2,35532.3,41408.5,49726.8
513,9.6445,33473.2,35077.9,41573.7,49795.2
514,9.66268,33473.2,36074.6,41790.2,50853.1
515,9.68094,33473.2,33943.6,41252.3,49569.2
516,9.69905,33473.2,34634,41700.1,50727.7
517,9.71719,33473.2,34369.4,41349.7,53686.3
518,9.73506,33473.2,35535.1,41483.5,50656.7
519,9.75346,33473.2,35515.8,41784.9,51299.9
520,9.77201,33473.2,35352,42094,53664.9
521,9.79036,33473.2,35346.8,41854.1,49772
522,9.80852,33473.2,34328,41768.8,53697.4
523,9.82668,33473.2,35331.4,41447.4,49960
